493608,PEP,FMCG,0.14,29.62,3.39,2.25,7.62,1.28,40.76,9,8,2
493610,AMZN,TECH,0.23,182.28,7.94,3.7,2.04,1.06,14.72,15,-1,4
493612,AMZN,TECH,0.32,0,-0.89,1.87,-0.44,1.12,-3.82,13,-2,4
493613,PEP,FMCG,0.14,21.03,4.56,2.27,10.74,1.32,54.98,8,8,2
493614,TGT,RETAIL,0.3,13.17,5.72,0.55,4.14,0.82,27.35,15,19,4
493615,BAC,BANK,0.28,14.74,1.38,2.4,17.23,0.9,6.06,14,13,4
493616,NVDA,TECH,0.28,20.41,0.95,2.28,11,5.99,12.12,1,6,4
493617,SC,BANK,0.28,4.81,3.84,0.91,18.73,0.83,20.13,12,-10,4
493618,AAPL,TECH,0.18,15.98,2.14,3.33,20.74,1.39,35.09,12,12,2
493619,HOG,AUTO,0.26,12.78,3.75,1.7,13.24,1.86,26.13,7,-1,1
493620,KSS,RETAIL,0.23,10.38,4.01,0.48,4.59,1.94,14.56,13,6,4
493621,DB,BANK,0.31,0,-0.85,0.64,-2.93,0.76,-1.63,0,-1,4
493622,AAPL,TECH,0.18,15.63,2.2,3.28,20.87,1.39,35.4,6,12,2
493623,HOG,AUTO,0.35,13.55,3.82,1.57,11.52,1.35,35.32,14,19,1
493624,NVDA,TECH,0.48,45.63,3.53,12.43,27.41,7.82,39.45,12,16,4
493625,NVDA,TECH,0.27,19.17,1.12,2.56,13.28,6.61,14.37,7,-14,3
493626,KO,FMCG,0.14,21.83,1.67,3.63,16.6,1.24,26.79,6,-8,3
493628,F,AUTO,0.22,14.54,0.78,0.32,0.85,6.58,4.72,9,4,4
493629,F,AUTO,0.23,6.5,1.65,0.29,4.93,1.25,27.44,6,3,4
493630,WMT,RETAIL,0.12,13.49,4.88,0.44,3.27,0.92,19.4,15,-10,4
493631,TGT,RETAIL,0.17,14.84,3.07,0.41,2.77,0.91,12.14,1,-15,4
493633,HMC,AUTO,0.23,13.82,2.32,0.49,3.56,1.26,7.1,13,2,4
493634,JPM,BANK,0.19,12.46,4.01,1.82,14.66,0.96,7.24,1,-18,4
493635,JPM,BANK,0.19,10.41,5.54,2.12,20.33,1.01,8.87,0,-6,4
493636,KSS,RETAIL,0.44,9.65,3.43,0.3,3.06,1.72,11.81,7,-3,4
493637,AXP,BANK,0.22,12.7,5.03,1.87,14.7,1.91,23.62,8,-10,1
493639,PG,FMCG,0.13,14.07,5.59,3.33,23.18,0.88,27.04,12,-7,4
493640,GOOG,TECH,0.21,25.92,21.15,6,20.93,5.6,13.96,4,-16,1
493641,PG,FMCG,0.14,13.59,5.5,3.22,23.06,0.89,26.1,5,-18,4
493642,HMC,AUTO,0.28,13.5,1.64,0.32,2.4,1.11,4.87,4,-4,4
493643,SC,BANK,0.26,5.12,3.3,0.86,16.47,0.89,20.01,8,19,2
493645,BBY,RETAIL,0.37,14.03,3.79,0.42,3,1.42,26.9,11,11,4
493646,TGT,RETAIL,0.24,10.75,5.59,0.51,4.75,1.02,27.8,17,16,4
493648,AXP,BANK,0.2,24.55,4.17,2.1,8.51,1.88,17.93,12,13,1
493649,GM,AUTO,0.25,9.07,2.73,0.27,2.97,1.13,12.6,8,8,4
493650,WMT,RETAIL,0.2,13.88,4.6,0.41,2.98,0.86,18.02,12,-15,4
493651,M,RETAIL,0.22,11.36,4.23,0.61,5.33,1.65,27.5,8,-12,4
493652,MSFT,TECH,0.28,23.18,2.05,4.19,22.53,2.35,27.29,9,16,1
493653,HOG,AUTO,0.26,15.58,2.98,1.43,9.23,1.23,26.93,14,6,1
493655,AMZN,TECH,0.31,191.6,4.37,3.15,1.64,1.06,13.47,6,-10,4
493656,PEP,FMCG,0.11,22.03,4.72,2.38,10.77,1.32,56.65,5,-12,3
493657,TSLA,AUTO,0.43,0,-1.56,6.98,-23.89,1.02,-99.49,3,-12,4
493658,BAC,BANK,0.21,21.72,0.63,1.54,6.98,0.95,2.96,6,20,4
493659,TGT,RETAIL,0.18,20.44,2.38,0.44,2.13,1.02,9.27,9,-20,4
493660,AMZN,TECH,0.19,245.69,3.94,3.14,1.28,1.01,9.38,0,-6,4
493661,BBY,RETAIL,0.38,12.58,3.73,0.38,3.01,1.49,26.69,10,4,4
493662,HMC,AUTO,0.15,6.04,5.28,0.41,6.9,1.23,13.12,17,20,2
493663,JPM,BANK,0.22,9.51,5.99,2.11,22.43,1.02,9.34,10,1,1
493665,GOOG,TECH,0.19,24.67,21.1,5.55,20.48,4.85,13.48,12,-15,3
493666,DB,BANK,0.26,599.56,0.07,0.79,0.34,0.73,0.25,4,18,4
493667,GOOG,TECH,0.16,32.11,29.87,6.87,20.09,5.77,14.26,10,-13,4
493668,UBS,BANK,0.33,14.13,1.03,1.51,10.33,1.18,6.93,4,8,4
493669,COST,RETAIL,0.16,29.45,5.77,0.61,2.06,0.81,21.4,18,-2,4
493670,OR,FMCG,0.35,38.61,0.3,24.49,62,12.75,3.38,3,8,4
493671,AAPL,TECH,0.28,11.29,2.25,2.53,22.27,1.28,40.24,2,-20,1
493672,PEP,FMCG,0.13,17.15,4.52,1.79,10.39,1.16,29.54,2,-1,3
493674,WMT,RETAIL,0.21,13.29,4.52,0.4,2.99,0.84,17.7,17,-4,4
493675,FB,TECH,0.28,49.53,2.59,15.1,33.16,11.69,16.71,16,-15,4
493680,MSFT,TECH,0.14,24.3,2.7,5.32,26.39,2.92,34.37,6,4,3
493681,GOOG,TECH,0.17,27.73,27.83,6.39,21.58,6.29,14.85,7,-3,4
493682,AXP,BANK,0.24,11.33,5,1.63,14.29,1.92,23.37,1,-2,1
493683,GM,AUTO,0.24,14.14,2.14,0.33,2.35,1.24,9.12,15,-15,4
493684,BAC,BANK,0.21,19.75,0.7,1.59,8.12,0.94,3.18,5,-20,4
493685,BBY,RETAIL,0.49,0,-0.52,0.26,-0.38,1.3,-4.65,15,-12,4
493687,GOOG,TECH,0.16,32.11,29.87,6.87,20.09,5.77,14.26,7,-5,4
493688,SC,BANK,0.54,5.17,2.13,0.56,9.77,0.91,14.4,5,-14,1
